age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59,0,1,1,no,2343,1,0,2,5,8,1042,1,-1,0,3,1
56,0,1,1,no,45,0,0,2,5,8,1467,1,-1,0,3,1
41,9,1,1,no,1270,1,0,2,5,8,1389,1,-1,0,3,1
55,7,1,1,no,2476,1,0,2,5,8,579,1,-1,0,3,1
54,0,1,2,no,184,0,0,2,5,8,673,2,-1,0,3,1
42,4,2,2,no,0,1,1,2,5,8,562,2,-1,0,3,1
56,4,1,2,no,830,1,1,2,6,8,1201,1,-1,0,3,1
60,5,0,1,no,545,1,0,2,6,8,1030,1,-1,0,3,1
37,9,1,1,no,1,1,0,2,6,8,608,1,-1,0,3,1
28,7,2,1,no,5090,1,0,2,6,8,1297,3,-1,0,3,1
38,0,2,1,no,100,1,0,2,7,8,786,1,-1,0,3,1
30,1,1,1,no,309,1,0,2,7,8,1574,2,-1,0,3,1
29,4,1,2,no,199,1,1,2,7,8,1689,4,-1,0,3,1
46,1,2,2,no,460,1,0,2,7,8,1102,2,-1,0,3,1
31,9,2,2,no,703,1,0,2,8,8,943,2,-1,0,3,1
35,4,0,2,no,3837,1,0,2,8,8,1084,1,-1,0,3,1
32,1,2,0,no,611,1,0,2,8,8,541,3,-1,0,3,1
49,7,1,1,no,-8,1,0,2,8,8,1119,1,-1,0,3,1
41,0,1,1,no,55,1,0,2,8,8,1120,2,-1,0,3,1
49,0,0,1,no,168,1,1,2,8,8,513,1,-1,0,3,1
28,0,0,1,no,785,1,0,2,8,8,442,2,-1,0,3,1
43,4,2,2,no,2067,1,0,2,8,8,756,1,-1,0,3,1
43,4,0,2,no,388,1,0,2,8,8,2087,2,-1,0,3,1
43,1,1,0,no,-192,1,0,2,8,8,1120,2,-1,0,3,1
37,10,2,1,no,381,1,0,2,8,8,985,2,-1,0,3,1
35,1,2,1,no,40,1,0,2,9,8,617,4,-1,0,3,1
31,9,2,2,no,22,1,0,2,9,8,483,3,-1,0,3,1
43,1,2,1,no,3,1,0,2,9,8,929,3,-1,0,3,1
31,0,1,1,no,307,1,0,2,9,8,538,1,-1,0,3,1
28,1,2,1,no,759,1,0,2,9,8,710,1,-1,0,3,1
32,1,1,1,yes,-1,1,0,2,9,8,653,1,-1,0,3,1
60,9,1,0,no,65,1,0,2,9,8,1028,2,-1,0,3,1
26,1,2,1,no,82,1,0,2,9,8,654,1,-1,0,3,1
40,1,1,1,no,10,1,0,2,9,8,1692,2,-1,0,3,1
33,1,0,0,no,390,1,0,2,9,8,665,2,-1,0,3,1
32,4,2,2,no,311,0,0,2,12,8,757,2,-1,0,3,1
35,1,1,0,no,414,0,0,2,13,8,504,4,-1,0,3,1
33,4,0,1,no,5,1,0,2,13,8,1346,1,-1,0,3,1
38,4,1,2,no,119,1,0,2,13,8,568,4,-1,0,3,1
23,2,2,0,no,4,1,0,2,13,8,395,2,-1,0,3,1
60,1,1,0,no,1262,1,1,2,13,8,1015,1,-1,0,3,1
48,4,1,2,no,1949,1,0,2,13,8,683,2,-1,0,3,1
45,2,0,2,no,-395,1,0,2,13,8,470,1,-1,0,3,1
36,1,1,1,no,1165,1,0,2,13,8,1001,4,-1,0,3,1
52,4,1,3,no,2240,1,0,2,13,8,845,1,-1,0,3,1
35,1,0,0,no,300,1,0,2,13,8,945,2,-1,0,3,1
43,9,1,1,no,3285,1,0,2,13,8,1721,2,-1,0,3,1
52,3,1,1,no,3923,1,0,2,14,8,942,3,-1,0,3,1
53,9,0,0,no,1443,1,0,2,14,8,476,1,-1,0,3,1
48,1,0,0,no,24,1,0,2,14,8,832,1,-1,0,3,1
41,1,2,0,no,1618,1,0,2,14,8,1553,1,-1,0,3,1
39,4,0,2,no,517,1,1,2,14,8,1328,1,-1,0,3,1
59,5,1,1,no,1521,1,1,2,14,8,1125,2,-1,0,3,1
